,0
0,Malat1
1,Meg3
2,mt-Atp6
3,mt-Co3
4,mt-Co1
5,Flt1
6,mt-Co2
7,Syt1
8,Nrxn3
9,Ptprd
10,Kcnip4
11,Lsamp
12,Pcdh9
13,Nrg3
14,Snhg11
15,Nrxn1
16,Tmsb4x
17,Dlg2
18,mt-Cytb
19,mt-Nd4
20,Slco1a4
21,Mal
22,Csmd1
23,Fth1
24,mt-Nd1
25,Rbfox1
26,C1qa
27,Cadm2
28,Celf2
29,C1qc
30,Dlgap1
31,Csf1r
32,Adgrl4
33,Fgf14
34,Cldn11
35,Ly6c1
36,mt-Nd2
37,Nlgn1
38,Pdgfra
39,Adgrb3
40,Prr5l
41,Cldn5
42,Lrp1b
43,Laptm5
44,Magi2
45,C1qb
46,Lrrtm4
47,Trf
48,Opcml
49,Selplg
50,Abcb1a
51,Snap25
52,Tmem119
53,Lingo2
54,Nrgn
55,Ank2
56,Nkain2
57,Anks1b
58,Fam155a
59,Grin2b
60,Tenm2
61,Nrg1
62,Kcnd2
63,Rpl41
64,Dpp10
65,Rtn1
66,Calm1
67,Mag
68,Calm2
69,Lrrc4c
70,Ntm
71,Ank3
72,Rnase2a
73,Ppp3ca
74,Mdga2
75,Cntnap2
76,Negr1
77,Il1rapl1
78,Siglech
79,Gja1
80,Rps29
81,Grm7
82,Mog
83,Ermn
84,Rplp1
85,Ttc3
86,Grm5
87,Celf4
88,Rpl13
89,Eef1a1
90,Gria2
91,Ctnna2
92,Mef2c
93,Pf4
94,Erbb4
95,Arpp21
96,Rps8
97,Ctss
98,Xist
99,Eif1
100,Asic2
101,St18
102,Nav3
103,Ly6a
104,Tcf4
105,Plcb1
106,Gpm6a
107,Atp1b1
108,Rims1
109,Basp1
110,Syt11
111,Ctnnd2
112,Rpl37
113,Camk2n1
114,Map1b
115,App
116,Ly86
117,Rpl9
118,S1pr1
119,Selenow
120,Auts2
121,Cox8a
122,Lrrc7
123,Phactr1
124,Tyrobp
125,Kcnq5
126,Kcnma1
127,Ralyl
128,Macrod2
129,Rpl3
130,Ugt8a
131,Gm42418
132,Adgrl3
133,Rtn3
134,Kcnh7
135,Adap2
136,Fgf12
137,Slc24a2
138,Rps23
139,Trbv2
140,Mecom
141,Fa2h
142,Rora
143,Ccl4
144,Rpl26
145,Kalrn
146,Lrfn5
147,Car10
148,Sgcz
149,Rps27a
150,Ikzf1
151,Dclk1
152,Grid2
153,Pde4d
154,Rps24
155,Rpl13a
156,Rps14
157,Sox2ot
158,Pcp4
159,Tmem88b
160,Rps3a1
161,Gjc3
162,2900097C17Rik
163,Rpl17
164,Gpr37l1
165,Actb
166,Gabra6
167,Ywhaz
168,Mir142hg
169,Zbtb20
170,Grin2a
171,Csmd3
172,Ncam1
173,Cadps
174,Pcdh7
175,Ndrg4
176,Gabrb1
177,Fau
178,Gad2
179,Olig1
180,Dlgap2
181,Selenop
182,Rpl27a
183,Rpl35a
184,Gpr34
185,Dab1
186,Gpr17
187,Ywhag
188,Slc8a1
189,Rpl37a
190,Ccser1
191,Rpl23
192,Nxph1
193,Gria4
194,Rian
195,Kctd16
196,Cntn5
197,Nbea
198,Rpl19
199,Tspan7
200,Dmd
201,Rpl38
202,Adarb2
203,Ncam2
204,Chchd2
205,Ywhah
206,Myt1l
207,Higd1b
208,Pcsk2
209,Mertk
210,Nsf
211,Rpl21
212,Gnas
213,Prkcb
214,Frmpd4
215,Slc17a7
216,Dcc
217,Fcrls
218,Erc2
219,Tmsb10
220,Ywhab
221,Runx1
222,Calm3
223,Rps21
224,Kif1b
225,Atp6v0c
226,Etl4
227,Galntl6
228,Hepacam
229,Rps7
230,Cck
231,Stxbp1
232,Rps19
233,Olfm1
234,Oaz1
235,Sntg1
236,Pafah1b1
237,Vamp2
238,Pcdh15
239,Slco2b1
240,Cdh5
241,Atp2b1
242,Adgrf5
243,Rpl24
244,Vtn
245,Gabrb3
246,Rps27
247,Gria1
248,Fli1
249,Aspa
250,Prkce
251,Apod
252,Pde4b
253,Rpl32
254,Frmd4a
255,Sox6
256,Cntn1
257,Rpl8
258,Tpt1
259,Hsp90ab1
260,mt-Nd3
261,Hs6st3
262,Slco1c1
263,Grik2
264,Dscam
265,Kirrel3
266,Camk2a
267,Sncb
268,Ntrk2
269,Kcnq3
270,Mobp
271,Dpp6
272,Dpysl2
273,Dgkb
274,Tafa1
275,Rps16
276,Nsg2
277,Rps28
278,Scn2a
279,Mgat4c
280,Kcnb2
281,Cyyr1
282,Cntn4
283,Itgam
284,Strbp
285,Unc5d
286,Xkr4
287,Gnao1
288,Dock8
289,Pbx1
290,Pcsk1n
291,Rab6a
292,Rpl6
293,Zwint
294,Hivep2
295,Cacna2d1
296,Pde10a
297,Csf3r
298,Rpl34
299,Syp
300,Pclo
301,Cpe
302,Vsnl1
303,Tanc2
304,Rpl11
305,Mapt
306,Bcas1
307,Rps3
308,Cxcl2
309,Trem2
310,Oxr1
311,Ppp2r2b
312,Slc39a12
313,Mycbp2
314,Zfp366
315,Robo1
316,Acsbg1
317,Snhg14
318,Syn2
319,Atp1a3
320,Epha6
321,Opalin
322,Cacnb4
323,Slc1a2
324,Atp2b2
325,Syne1
326,Mapk10
327,Gria3
328,Cbln3
329,Snrpn
330,Tnf
331,Clstn1
332,Zeb2
333,Map2
334,Cox7c
335,Zic1
336,Ppp1r14a
337,Chn1
338,Prkg1
339,Gm29341
340,Cox6c
341,Ube2e2
342,Stmn1
343,Rps25
344,Gabrg3
345,March1
346,Brinp3
347,Actg1
348,Fyb
349,Macf1
350,Mt3
351,Napb
352,Rorb
353,Rpl30
354,Cntnap5a
355,Ywhae
356,Kcnj8
357,Rgs7bp
358,Morf4l1
359,Serinc1
360,Cox4i1
361,Gphn
362,B3galt1
363,Ube3a
364,Gabarapl1
365,Chrm3
366,Rps11
367,Fgfr3
368,Gpr158
369,Rpl18a
370,Pde1a
371,Akap6
372,Ptgds
373,Rnf227
374,Rtn4
375,Ptma
376,Ntsr2
377,Rps4x
378,Rpl14
379,Rims2
380,Cd53
381,Neu4
382,Tenm4
383,Nfia
384,Gpm6b
385,Atp6v1a
386,Psap
387,Cacna1a
388,Atxn1
389,Fcgr3
390,Dynll2
391,Tmem178b
392,Camta1
393,Cfh
394,Elavl3
395,Csrp1
396,Sox10
397,Ndrg1
398,Schip1
399,Slc38a11
400,Brinp1
401,Rgs7
402,Meis2
403,Zfp536
404,Cd86
405,Ptprn2
406,Plekhh1
407,Pllp
408,Rplp2
409,Nfib
410,Rbfox3
411,Cxcl10
412,Ryr2
413,Rps6
414,Sgip1
415,Ctla2a
416,Ncald
417,Rps15
418,Large1
419,Arf3
420,Fkbp1a
421,Gpc5
422,Unc5c
423,Cspg4
424,Gnb1
425,Rab6b
426,Aqp4
427,Cbr2
428,Gsk3b
429,Fat2
430,Ppp3r1
431,Rps18
432,Dlk1
433,Rpl23a
434,Cacna2d3
435,Stmn2
436,Nostrin
437,Cadm1
438,D7Ertd443e
439,Agbl4
440,Atp2a2
441,Sv2b
442,Gabbr2
443,Npas3
444,Ptprt
445,Pja2
446,Gap43
447,Ptms
448,Kcnj10
449,Cd300c2
450,Fn1
451,Ntrk3
452,Hsp90aa1
453,Rps2
454,Prkar1b
455,Ppia
456,Ndfip1
457,Cyfip2
458,Pex5l
459,Cd209f
460,Rps13
461,Rps15a
462,Epha5
463,Dock3
464,Rbm39
465,Ifi207
466,Il33
467,Dynll1
468,Chchd10
469,Trpm3
470,Atp6v1g2
471,Fut9
472,Tnik
473,Dnm3
474,C030029H02Rik
475,Gm10790
476,Gm6145
477,Unc80
478,Dst
479,Rps5
480,Egfem1
481,Daam2
482,Samd12
483,Sptbn1
484,Gad1
485,Ppfia2
486,Edil3
487,Nav2
488,Prnp
489,Rpl10
490,Rpl22l1
491,Gng3
492,Sparc
493,Carmn
494,Eif4a2
495,Rpsa
496,Rgs6
497,Cfl1
498,Rps10
499,Ftl1
500,Pdgfd
501,Rpl36
502,mt-Nd5
503,Snca
504,Atpif1
505,Purb
506,Nrcam
507,Tenm1
508,Klf9
509,Cx3cl1
510,Nap1l5
511,A230057D06Rik
512,Rpl39
513,Gabra1
514,Gjb6
515,Gpc6
516,Pgm2l1
517,Sorbs2
518,Ptprc
519,Cdr1os
520,Clec2d
521,Gm2629
522,Ppp1r9a
523,Rps20
524,Thy1
525,Mbnl2
526,Rpl28
527,P2ry13
528,Myrf
529,Pura
530,Ccl3
531,Cacna1c
532,Serf2
533,Astn2
534,Luzp2
535,Spock2
536,Trim2
537,Gpx4
538,6330403K07Rik
539,Rps12
540,Sv2a
541,Gas5
542,Mrfap1
543,C1ql1
544,Gnaq
545,Prkacb
546,Spock1
547,Prickle1
548,Tmeff2
549,Nrn1
550,Spock3
551,Snap91
552,Luc7l2
553,Cdh19
554,Slfn5
555,Iglc3
556,Ctxn1
557,Fat3
558,R3hdm1
559,Cacna1e
560,Cplx2
561,Nell2
562,Slc22a6
563,Cd84
564,Spi1
565,Inpp4b
566,Sec62
567,Kif5c
568,Rab3c
569,Ccr5
570,Zfp36l1
571,Pfn2
572,Nfix
573,Agt
574,Slc12a5
575,Rpl15
576,Nptn
577,Gabbr1
578,Fam216b
579,Sh3gl2
580,Slc22a8
581,Srgn
582,Nrxn2
583,Dnm1
584,Olfr201
585,Robo2
586,Cdh18
587,Stmn3
588,Kcnq1ot1
589,Il10ra
590,Foxp2
591,Atf3
592,Clic4
593,Uqcrh
594,Etnppl
595,Arhgap45
596,Eif4g2
597,Frmd5
598,Grin1
599,Cttnbp2
600,Gng11
601,Tfap2b
602,Apoe
603,Ifitm3
604,Slc1a3
605,Grm8
606,Ddx5
607,Tbx3os1
608,Dgki
609,Tshz2
610,Cd93
611,Mpeg1
612,Cdh12
613,Nkg7
614,Thra
615,Cnksr2
616,Id3
617,Ptn
618,Cox7a2
619,Tafa2
620,Unc13c
621,Camk2b
622,Anxa3
623,Klf2
624,Otud7a
625,Slc25a4
626,Rgs1
627,Ebf1
628,Ptprk
629,Prkar1a
630,Syn1
631,Olfr1045
632,Lef1
633,Nrsn1
634,Rasgrp1
635,Aldoa
636,Adap2os
637,Rpl12
638,Foxp1
639,Atp5md
640,Alcam
641,Zfpm2
642,Kif21a
643,Son
644,A230001M10Rik
645,Ifitm1
646,Rpl31
647,H3f3b
648,Hcn1
649,Fry
650,Sec14l5
651,Atp8a1
652,Magi1
653,Hecw1
654,Plekhg1
655,Rpl4
656,Hspb1
657,Ednrb
658,Tma7
659,Sntn
660,Uqcr10
661,Pacsin1
662,Serp2
663,Frrs1l
664,Gda
665,Cdk5r1
666,Rab3a
667,Rmst
668,Slc6a1
669,Zfp804b
670,Tril
671,Kif1a
672,Sox17
673,Pik3ap1
674,Ypel3
675,Stxbp5l
676,Rere
677,Prickle2
678,Gpr37
679,Tenm3
680,Ahi1
681,Slc7a10
682,Tcf25
683,Dip2c
684,Zfhx3
685,Slc35f1
686,Plppr4
687,Ccdc88a
688,Syt4
689,F630028O10Rik
690,Anln
691,Scn8a
692,Chd9
693,Cdc42bpa
694,Bcl2a1b
695,Map1lc3a
696,Atp5j
697,Hspa8
698,Igf2
699,Rcan2
700,Dock10
701,Emcn
702,Sgcd
703,Nol4
704,Gm28490
705,Dock1
706,Pdzrn3
707,Ms4a7
708,Sdc4
709,Mllt11
710,Clstn2
711,Sox5
712,Rasgrf1
713,Gas7
714,Cdh10
715,Cdk14
716,Eno2
717,Mtpn
718,Peg3
719,Ano3
720,Synj1
721,Ubb
722,Mast4
723,Cysltr2
724,Tcf7l2
725,Rhoh
726,Gatm
727,Rbpms
728,Ndufa4
729,Lrrtm3
730,Aak1
731,Cryab
732,Rpl7
733,Sorcs1
734,Pak3
735,Cdh20
736,Trim9
737,Mir99ahg
738,Psd3
739,Itm2c
740,Cd33
741,Fam171b
742,Gli3
743,Atp6v0a1
744,Gm5114
745,Lama2
746,Sept7
747,Tnrc6b
748,Grm3
749,Kcnc2
750,Marcks
751,Fcer1g
752,Ankrd12
753,Enpp6
754,Dnajc6
755,Pak1
756,Hmcn1
757,Tsc22d1
758,Ncdn
759,Bgn
760,Ppp2r2c
761,Rnase4
762,Nckap1
763,Gpr183
764,Rps9
765,Klf4
766,Il1rapl2
767,Exoc4
768,Gm5741
769,A230006K03Rik
770,Rock2
771,Tspan5
772,Srpk2
773,Caln1
774,4930402H24Rik
775,Egr1
776,Il1a
777,Ttyh2
778,Cd47
779,Slit3
780,Pde8a
781,Tm4sf1
782,Ms4a4a
783,H2afz
784,Atp6v1b2
785,Rabgap1l
786,Set
787,Fam168a
788,Tbx18
789,F3
790,Srrm2
791,Camk2d
792,Rps17
793,Nedd4
794,Lmo4
795,Eng
796,Ppm1e
797,Epha4
798,Foxq1
799,Hs3st4
800,Sobp
801,Khdrbs2
802,Aplp2
803,Grip1
804,Astn1
805,C3ar1
806,Impact
807,Atxn7l3b
808,Rps26
809,Sumo2
810,Kank1
811,Pcdh17
812,Rasgrp3
813,Id1
814,Hecw2
815,Cd209b
816,Tie1
817,Aspn
818,Nedd4l
819,Mapk1
820,Atp5l
821,Thrb
822,Atp1a2
823,Zmat4
824,Rpl36a
825,Tmem30a
826,Scn1b
827,Celf1
828,Tcaf1
829,Grid1
830,Atp13a4
831,Myo5a
832,Abi3
833,Rasal2
834,Nckap1l
835,Slc2a13
836,Prkca
837,Dscaml1
838,Usp34
839,Spag9
840,Fgd2
841,Olfr1242
842,Gm26871
843,Cacnb2
844,Rpl5
845,Ube2b
846,Mmp16
847,Mbd5
848,Arhgef9
849,Vxn
850,Atp5e
851,Inpp5d
852,Bin2
853,mt-Nd4l
854,Kidins220
855,Dnajc5
856,Asap1
857,Ncor1
858,S100a16
859,Bex2
860,Creb5
861,Zfr
862,Gm16168
863,Ptprg
864,Rpl29
865,Kcnip1
866,Pld4
867,Khdrbs3
868,Tubb4a
869,Clasp2
870,Kansl1
871,Maml2
872,Kifap3
873,Eif4g3
874,Gprasp1
875,Csmd2
876,Efna5
877,Prkn
878,Mfge8
879,Olfm5
880,Tmcc1
881,Dock4
882,Rap1gds1
883,Baiap2
884,Setbp1
885,C5ar1
886,Acta2
887,Abr
888,Paqr5
889,C1ql3
890,Sipa1l1
891,Mrtfb
892,Sik3
893,Shox2
894,Fmo2
895,Lhfpl3
896,Ptprs
897,Cdh13
898,Gm38028
899,Timp2
900,Pfdn5
901,Rpl27
902,Aplp1
903,Pnisr
904,Slc4a10
905,Gabra2
906,Myoc
907,Sox18
908,Olfml3
909,Neat1
910,Atp5g1
911,Oip5os1
912,Camk1d
913,Ctsh
914,Gab1
915,Eef1g
916,Mctp1
917,Rbfox2
918,Zfp385b
919,Usp29
920,D430041D05Rik
921,Ncf1
922,Cap2
923,Sema6d
924,Rbms3
925,Apc
926,Tmod2
927,Tspyl4
928,Phox2b
929,Ndrg3
930,Nell1
931,Faim2
932,Efhd1
933,Ash1l
934,Abca9
935,Kcnj3
936,Rpl35
937,Gm19261
938,Map4
939,Tnr
940,Adgre1
941,Adgrl1
942,Ndufa2
943,Rgs4
944,Spop
945,Rbm47
946,Sub1
947,Bcl11b
948,Csnk1a1
949,Pltp
950,Tjp1
951,Olfr547
952,Ndufa4l2
953,Car2
954,B230323A14Rik
955,A330049N07Rik
956,Ptprm
957,Agmo
958,Dok6
959,Klc1
960,Sphkap
961,Grm1
962,Elmo1
963,Galnt13
964,Sorcs3
965,Amph
966,1110008P14Rik
967,Synpr
968,Abcc9
969,Egfr
970,Gm13861
971,Ncoa1
972,Adam22
973,Hdac9
974,Itpr1
975,Sp100
976,Tbx3
977,Dtna
978,Elob
979,Pde4dip
980,Canx
981,Rufy3
982,Akt3
983,Tmcc3
984,Tnrc6c
985,Zcchc24
986,Slc7a11
987,Htr2c
988,Gm36823
989,Etnk1
990,Pam
991,Zeb1
992,Klrc1
993,Srgap3
994,8030442B05Rik
995,Adcy2
996,Rgs17
997,Cox7a2l
998,Foxc1
999,Vdac1
1000,Atrx
1001,Cntn3
1002,Olfr558
1003,Ace2
1004,Tle5
1005,Eml6
1006,Elmod1
1007,Nlrp3
1008,Itpr2
1009,Ckb
1010,A830018L16Rik
1011,Atp5k
1012,Chsy3
1013,Cpeb3
1014,Nucks1
1015,Satb2
1016,Gls
1017,Gpatch8
1018,Ubn2
1019,Bcan
1020,Pkm
1021,Rapgef4
1022,Pnmal2
1023,Neurl3
1024,St6galnac5
1025,Rfx4
1026,Foxd1
1027,Mlc1
1028,P2ry6
1029,Gm973
1030,Mical2
1031,Cd209g
1032,Bmerb1
1033,Reln
1034,Tlr7
1035,Xdh
1036,Robo4
1037,Slc24a3
1038,Ppp3cb
1039,Hoxb5
1040,Ptk2b
1041,Reep5
1042,Rph3a
1043,Rnf11
1044,Etv1
1045,9930111J21Rik2
1046,Tcf21
1047,Pak7
1048,Apba2
1049,Cxcl14
1050,Enox1
1051,Kcnab1
1052,Sept3
1053,Dync1i1
1054,Ntng1
1055,Cdh8
1056,Pde7b
1057,Plpp3
1058,Lpar1
1059,Foxn3
1060,Ptprz1
1061,Slc38a3
1062,Camk4
1063,Tpi1
1064,Grik1
1065,Ywhaq
1066,Thbd
1067,Ldb2
1068,Acvrl1
1069,Grin3a
1070,Homer1
1071,Dennd1a
1072,Pla2g7
1073,Cbarp
1074,Itm2b
1075,Ndufa13
1076,Nes
1077,Syt7
1078,Ptk2
1079,Crybb1
1080,Slc6a13
1081,Ogn
1082,Ryr3
1083,Fam180a
1084,Plxna4
1085,Nkain3
1086,Adcy1
1087,Epb41l3
1088,Unc79
1089,Arfgef3
1090,Ptprn
1091,Tomm20
1092,Cyth4
1093,Ralgapa1
1094,Nalcn
1095,Smdt1
1096,Eva1a
1097,Elavl4
1098,Tinagl1
1099,Osbpl1a
1100,Slc32a1
1101,Cavin1
1102,Fam81a
1103,Ly6h
1104,Gm29393
1105,Cox5b
1106,Trio
1107,Limch1
1108,Clip3
1109,Naca
1110,Stox2
1111,Col3a1
1112,Uqcrq
1113,Map7d2
1114,Olfr1228
1115,Prr16
1116,Plekhb1
1117,Ltc4s
1118,B230209E15Rik
1119,Evi2a
1120,Otx2os1
1121,Fbxl17
1122,Hoxa13
1123,Pitpnc1
1124,Chd3
1125,Il16
1126,Unc5b
1127,Ccl12
1128,Stxbp6
1129,Cadps2
1130,Dipk2b
1131,Plcl1
1132,Clec4n
1133,Arl6ip1
1134,Cltc
1135,Bcl11a
1136,Fam126b
1137,Syngr1
1138,Myo9a
1139,Ncoa7
1140,Klf12
1141,Exoc6b
