Gene,Fold
Cck,3
Rgs5,1
P2ry12,1
Cbln1,1
Fn1,1
Dner,1
Pltp,1
Grm3,1
Synpr,1
Nfib,1
Satb2,1
Pdgfra,1
Bcl11b,1
Shox2,1
Zfpm2,1
Otp,1
Gpr17,1
Mrc1,1
Nptxr,1.5
Agt,1
Pdzrn3,1
Shisa6,2
Sst,11
Ctss,1
Tcf7l2,2
Cplx2,2
Ntng1,1.5
Cldn5,1
Mpped1,1
Cspg4,1
Pdgfrb,1
Atp2b4,2
C1ql3,1.5
Slc24a3,2
Zeb2,2
Slc17a6,1
Lmo3,2
Gad2,1.5
Ecrg4,1.5
Aqp4,1
Enpp2,1
Nxph3,1
Fgf13,1
Penk,1
Etv1,1
Hap1,1
Pvalb,1
Csf1r,1
Meis2,1
Rspo2,1
Slc1a3,1
Htr2c,1
Slc32a1,1
Nrn1,1.5
Dcn,1
Slit3,1
Ptprt,1
Vxn,1.5
Prox1,1
Slco1a4,1
Rax,1
Slc17a7,5
Tmem212,1
sFP,1
Flt1,1
Drd1,1
Cplx3,2
Gad1,1
Tagln,1
Vtn,1
Reln,2
Ermn,1
Cpne4,1
Foxj1,1.5
Kcnip2,1.5
Il17ra,1
Grm8,1
Gabra1,2
Adora2a,1
Calb1,1
Adcy1,1.5
Elavl2,1
Slc6a20a,1
Rprm,1
Ccdc153,1
Bcl11a,1
Drd2,1.5
Lypd1,1
Fezf2,1
Cit,1
Lamp5,1.5
Trh,1
Rasgrp1,1
Thy1,2
Dlk1,1
Igf2,1.5
Cpne7,1
Tafa2,1
Baiap3,1
Mog,1
Tmem88b,1
Synpo2,1
Rasl10a,1
Cadps2,1
Pdyn,2
Hs3st2,1
Prkcg,1
Gpr88,1.5
Vip,2
Nxph1,1
